MoldName,SaveDate,Materials,Colour,MoldNum
9,2019/3/4-16:17:43,9,9,9
,,,,
DataID,DataValue,,,
0x5F4,0,,,
0x5F5,0,,,
0x5F6,0,,,
0x5F7,0,,,
0x5F8,0,,,
0x5F9,0,,,
0x5FA,0,,,
0x5FB,0,,,
0x5FC,0,,,
0x5FD,0,,,
0x5FE,0,,,
0x5FF,0,,,
0x600,0,,,
0x601,0,,,
0x602,0,,,
0x603,0,,,
0x604,0,,,
0x605,0,,,
0x606,0,,,
0x607,0,,,
0x608,0,,,
0x609,0,,,
0x60A,0,,,
0x60B,0,,,
0x60C,0,,,
0x60D,0,,,
0x60E,0,,,
0x60F,0,,,
0x610,0,,,
0x611,0,,,
0x612,0,,,
0x613,0,,,
0x614,0,,,
0x615,0,,,
0x616,0,,,
0x617,0,,,
0x618,0,,,
0x619,0,,,
0x61A,0,,,
0x61B,0,,,
0x61C,0,,,
0x61D,0,,,
0x61E,0,,,
0x61F,0,,,
0x620,0,,,
0x621,0,,,
0x622,0,,,
0x623,0,,,
0x624,0,,,
0x625,0,,,
0x626,80,,,
0x627,50,,,
0x628,65535,,,
0x629,65535,,,
0x62A,65535,,,
0x62B,65535,,,
0x62C,65535,,,
0x62D,65535,,,
0x62E,65535,,,
0x62F,65535,,,
0x630,65535,,,
0x631,65535,,,
0x632,65535,,,
0x633,65535,,,
0x634,65535,,,
0x635,65535,,,
0x636,65535,,,
0x637,65535,,,
0x638,65535,,,
0x639,65535,,,
0x63A,65535,,,
0x63B,65535,,,
0x63C,65535,,,
0x63D,65535,,,
0x63E,65535,,,
0x63F,65535,,,
0x640,65535,,,
0x641,65535,,,
0x642,65535,,,
0x643,65535,,,
0x644,65535,,,
0x645,65535,,,
0x646,65535,,,
0x647,65535,,,
0x648,65535,,,
0x649,65535,,,
0x64A,65535,,,
0x64B,65535,,,
0x64C,65535,,,
0x64D,65535,,,
0x64E,65535,,,
0x64F,65535,,,
0x650,20,,,
0x651,50,,,
0x652,200,,,
0x654,30,,,
0x655,50,,,
0x656,0,,,
0x658,40,,,
0x659,50,,,
0x65A,0,,,
0x65C,0,,,
