NO.,Code,ShotCnt,AlarmDescription,StartTime,ResetTime
 ,5904,1,ERR_0F_TEMPERR,4/2/2019 9:46:1,4/2/2019 9:46:14
 ,5900,1,ERR_0F_TEMPERR,4/2/2019 9:44:14,4/2/2019 9:44:15
 ,6024,1,ERR_0F_TEMPERR,4/2/2019 9:43:34,4/2/2019 9:44:11
 ,6362,1,ERR_0F_TEMPERR,4/2/2019 9:43:34,4/2/2019 9:44:11
 ,6022,1,ERR_0F_TEMPERR,4/2/2019 9:43:33,??:??:??
 ,6021,1,ERR_0F_TEMPERR,4/2/2019 9:43:33,4/2/2019 9:44:10
 ,6020,1,ERR_0F_TEMPERR,4/2/2019 9:43:33,4/2/2019 9:44:10
 ,6019,1,ERR_0F_TEMPERR,4/2/2019 9:43:32,4/2/2019 9:44:10
 ,6016,1,ERR_0F_TEMPERR,4/2/2019 9:43:32,4/2/2019 9:44:9
 ,6015,1,ERR_0F_TEMPERR,4/2/2019 9:43:32,4/2/2019 9:44:9
 ,6014,1,ERR_0F_TEMPERR,4/2/2019 9:43:32,4/2/2019 9:44:8
 ,6013,1,ERR_0F_TEMPERR,4/2/2019 9:43:31,4/2/2019 9:44:8
 ,6012,1,ERR_0F_TEMPERR,4/2/2019 9:43:31,4/2/2019 9:44:8
 ,6011,1,ERR_0F_TEMPERR,4/2/2019 9:43:31,4/2/2019 9:44:7
 ,6008,1,ERR_0F_TEMPERR,4/2/2019 9:43:27,4/2/2019 9:44:7
 ,6007,1,ERR_0F_TEMPERR,4/2/2019 9:43:26,4/2/2019 9:44:6
 ,6005,1,ERR_0F_TEMPERR,4/2/2019 9:43:26,4/2/2019 9:44:6
 ,6004,1,ERR_0F_TEMPERR,4/2/2019 9:43:26,4/2/2019 9:44:6
 ,6003,1,ERR_0F_TEMPERR,4/2/2019 9:43:25,4/2/2019 9:44:5
 ,6000,1,ERR_0F_TEMPERR,4/2/2019 9:43:25,4/2/2019 9:44:5
 ,5999,1,ERR_0F_TEMPERR,4/2/2019 9:43:25,4/2/2019 9:44:4
 ,5998,1,ERR_0F_TEMPERR,4/2/2019 9:43:25,4/2/2019 9:44:4
 ,5997,1,ERR_0F_TEMPERR,4/2/2019 9:43:24,4/2/2019 9:44:4
 ,5996,1,ERR_0F_TEMPERR,4/2/2019 9:43:24,4/2/2019 9:44:3
 ,5995,1,ERR_0F_TEMPERR,4/2/2019 9:43:24,4/2/2019 9:44:3
 ,5992,1,ERR_0F_TEMPERR,4/2/2019 9:43:20,4/2/2019 9:44:2
 ,5991,1,ERR_0F_TEMPERR,4/2/2019 9:43:20,4/2/2019 9:44:2
 ,5990,1,ERR_0F_TEMPERR,4/2/2019 9:43:19,4/2/2019 9:44:2
 ,5989,1,ERR_0F_TEMPERR,4/2/2019 9:43:19,4/2/2019 9:44:1
 ,5987,1,ERR_0F_TEMPERR,4/2/2019 9:43:19,4/2/2019 9:44:1
 ,5986,1,ERR_0F_TEMPERR,4/2/2019 9:43:19,4/2/2019 9:44:0
 ,5985,1,ERR_0F_TEMPERR,4/2/2019 9:43:18,4/2/2019 9:44:0
 ,5984,1,ERR_0F_TEMPERR,4/2/2019 9:43:18,4/2/2019 9:43:59
 ,5983,1,ERR_0F_TEMPERR,4/2/2019 9:43:18,4/2/2019 9:43:59
 ,5982,1,ERR_0F_TEMPERR,4/2/2019 9:43:17,4/2/2019 9:43:59
 ,5981,1,ERR_0F_TEMPERR,4/2/2019 9:43:17,4/2/2019 9:43:58
 ,5980,1,ERR_0F_TEMPERR,4/2/2019 9:43:17,4/2/2019 9:43:58
 ,5979,1,ERR_0F_TEMPERR,4/2/2019 9:43:17,4/2/2019 9:43:57
 ,5976,1,ERR_0F_TEMPERR,4/2/2019 9:43:13,4/2/2019 9:43:57
 ,5975,1,ERR_0F_TEMPERR,4/2/2019 9:43:13,4/2/2019 9:43:57
 ,5974,1,ERR_0F_TEMPERR,4/2/2019 9:43:13,4/2/2019 9:43:56
 ,5973,1,ERR_0F_TEMPERR,4/2/2019 9:43:12,4/2/2019 9:43:56
 ,5972,1,ERR_0F_TEMPERR,4/2/2019 9:43:12,4/2/2019 9:43:55
 ,5971,1,ERR_0F_TEMPERR,4/2/2019 9:43:12,4/2/2019 9:43:55
 ,5968,1,ERR_0F_TEMPERR,4/2/2019 9:43:12,4/2/2019 9:43:55
 ,5967,1,ERR_0F_TEMPERR,4/2/2019 9:43:11,4/2/2019 9:43:54
 ,5966,1,ERR_0F_TEMPERR,4/2/2019 9:43:11,4/2/2019 9:43:54
 ,5965,1,ERR_0F_TEMPERR,4/2/2019 9:43:11,4/2/2019 9:43:53
 ,5964,1,ERR_0F_TEMPERR,4/2/2019 9:43:10,4/2/2019 9:43:53
 ,5963,1,ERR_0F_TEMPERR,4/2/2019 9:43:10,4/2/2019 9:43:53
 ,5960,1,ERR_0F_TEMPERR,4/2/2019 9:43:6,4/2/2019 9:43:52
 ,5959,1,ERR_0F_TEMPERR,4/2/2019 9:43:6,4/2/2019 9:43:52
 ,5957,1,ERR_0F_TEMPERR,4/2/2019 9:43:6,4/2/2019 9:43:51
 ,5955,1,ERR_0F_TEMPERR,4/2/2019 9:43:5,4/2/2019 9:43:51
 ,5952,1,ERR_0F_TEMPERR,4/2/2019 9:43:5,4/2/2019 9:43:50
 ,5951,1,ERR_0F_TEMPERR,4/2/2019 9:43:5,4/2/2019 9:43:50
 ,5950,1,ERR_0F_TEMPERR,4/2/2019 9:43:5,4/2/2019 9:43:50
 ,5949,1,ERR_0F_TEMPERR,4/2/2019 9:43:4,4/2/2019 9:43:49
 ,5948,1,ERR_0F_TEMPERR,4/2/2019 9:43:4,4/2/2019 9:43:49
 ,5947,1,ERR_0F_TEMPERR,4/2/2019 9:43:4,4/2/2019 9:43:48
 ,5944,1,ERR_0F_TEMPERR,4/2/2019 9:43:0,4/2/2019 9:43:48
 ,5943,1,ERR_0F_TEMPERR,4/2/2019 9:42:59,4/2/2019 9:43:48
 ,5941,1,ERR_0F_TEMPERR,4/2/2019 9:42:59,4/2/2019 9:43:47
 ,5940,1,ERR_0F_TEMPERR,4/2/2019 9:42:59,4/2/2019 9:43:47
 ,5936,1,ERR_0F_TEMPERR,4/2/2019 9:42:59,4/2/2019 9:43:46
 ,5935,1,ERR_0F_TEMPERR,4/2/2019 9:42:58,4/2/2019 9:43:46
 ,5934,1,ERR_0F_TEMPERR,4/2/2019 9:42:58,4/2/2019 9:43:46
 ,5933,1,ERR_0F_TEMPERR,4/2/2019 9:42:58,4/2/2019 9:43:45
 ,6345,1,ERR_0F_TEMPERR,4/2/2019 9:42:58,4/2/2019 9:43:45
 ,5931,1,ERR_0F_TEMPERR,4/2/2019 9:42:57,4/2/2019 9:43:44
 ,5928,1,ERR_0F_TEMPERR,4/2/2019 9:42:52,4/2/2019 9:43:44
 ,5927,1,ERR_0F_TEMPERR,4/2/2019 9:42:52,4/2/2019 9:43:44
 ,5926,1,ERR_0F_TEMPERR,4/2/2019 9:42:51,4/2/2019 9:43:43
 ,5925,1,ERR_0F_TEMPERR,4/2/2019 9:42:51,4/2/2019 9:43:43
 ,6351,1,ERR_0F_TEMPERR,4/2/2019 9:42:51,4/2/2019 9:43:42
