NO.,Time,#1 SetValue,#1 RealValue,#2 SetValue,#2 RealValue,#3 SetValue,#3 RealValue,#4 SetValue,#4 RealValue,#5 SetValue,#5 RealValue,#6 SetValue,#6 RealValue,#7 SetValue,#7 RealValue,#8 SetValue,#8 RealValue,#9 SetValue,#9 RealValue
929,04/04/2019 15:01:35,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
930,04/04/2019 15:01:39,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
931,04/04/2019 15:01:43,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
932,04/04/2019 15:01:47,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
933,04/04/2019 15:01:51,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
934,04/04/2019 15:01:55,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
935,04/04/2019 15:01:59,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
936,04/04/2019 15:02:03,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
937,04/04/2019 15:02:07,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
938,04/04/2019 15:02:11,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
939,04/04/2019 15:02:15,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
940,04/04/2019 15:02:19,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
941,04/04/2019 15:02:23,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
942,04/04/2019 15:02:27,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
943,04/04/2019 15:02:30,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
944,04/04/2019 15:02:34,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
945,04/04/2019 15:02:38,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
946,04/04/2019 15:02:42,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
947,04/04/2019 15:02:46,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
948,04/04/2019 15:02:50,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
949,04/04/2019 15:02:54,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
950,04/04/2019 15:02:58,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
951,04/04/2019 15:03:02,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
952,04/04/2019 15:03:06,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
953,04/04/2019 15:03:10,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
954,04/04/2019 15:03:14,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
955,04/04/2019 15:03:18,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
956,04/04/2019 15:03:22,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
957,04/04/2019 15:03:26,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
958,04/04/2019 15:03:30,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
